Compounds,Neg,Neu,Pos,Date
0.243702976,0.046883929,0.827416667,0.125717262,daily_general_discussion_december_10_2017
0.232836887,0.040673435,0.830798646,0.128531303,daily_general_discussion_december_11_2017
0.196553756,0.044517606,0.838239437,0.117252347,daily_general_discussion_december_12_2017
0.208199378,0.043121891,0.831312189,0.125569652,daily_general_discussion_december_13_2017
0.198583101,0.055600559,0.814141061,0.130273743,daily_general_discussion_december_14_2017
0.202853102,0.045899635,0.826956204,0.127149635,daily_general_discussion_december_15_2017
0.17674576,0.050890459,0.824681979,0.124429329,daily_general_discussion_december_16_2017
0.204331797,0.051639017,0.810463902,0.136360983,daily_general_discussion_december_17_2017
0.193444746,0.048114522,0.819970484,0.130743802,daily_general_discussion_december_18_2017
0.147753775,0.053057886,0.826333054,0.119782718,daily_general_discussion_december_19_2017
0.210122137,0.045427481,0.853519084,0.101053435,daily_general_discussion_december_1_2017
0.160272075,0.055322153,0.815121685,0.127223869,daily_general_discussion_december_20_2017
0.161376301,0.056547688,0.819104046,0.123632948,daily_general_discussion_december_21_2017
0.117665574,0.067870164,0.812285902,0.11919541,daily_general_discussion_december_22_2017
0.15881087,0.062374506,0.80276581,0.133866601,daily_general_discussion_december_23_2017
0.185124377,0.054997833,0.806752979,0.137176598,daily_general_discussion_december_24_2017
0.175753234,0.057987275,0.805656416,0.136369035,daily_general_discussion_december_25_2017
0.176468304,0.049366071,0.824526786,0.125221429,daily_general_discussion_december_26_2017
0.195714286,0.055285714,0.798728863,0.145989067,daily_general_discussion_december_27_2017
0.191470807,0.048884058,0.801730159,0.148694272,daily_general_discussion_december_28_2017
0.139099088,0.057768248,0.816596107,0.12320073,daily_general_discussion_december_29_2017
0.250085641,0.036184615,0.836112821,0.127692308,daily_general_discussion_december_2_2017
0.135735324,0.061622302,0.815022302,0.121908633,daily_general_discussion_december_30_2017
0.175364665,0.054774571,0.809233229,0.134425117,daily_general_discussion_december_31_2017
0.180872727,0.048073593,0.847835498,0.104082251,daily_general_discussion_december_3_2017
0.192237443,0.050920091,0.824707763,0.12436758,daily_general_discussion_december_4_2017
0.155919769,0.059439868,0.808840198,0.126771005,daily_general_discussion_december_6_2017
0.163492857,0.053811847,0.824630662,0.121567944,daily_general_discussion_december_7_2017
0.208241667,0.041945238,0.841421429,0.116647619,daily_general_discussion_december_8_2017
0.220379452,0.048230594,0.809440639,0.142328767,daily_general_discussion_december_9_2017
0.059896308,0.07992749,0.799179548,0.11849668,daily_general_discussion_february_2_2018
0.094977957,0.069398181,0.806926522,0.120881735,daily_general_discussion_february_3_2018
0.06829583,0.079247952,0.799594192,0.120407297,daily_general_discussion_february_4_2018
0.049921357,0.090539309,0.792699549,0.116515023,daily_general_discussion_february_5_2018
0.073824701,0.084295967,0.788180529,0.127244506,daily_general_discussion_february_6_2018
0.131295304,0.066371339,0.797047446,0.134404018,daily_general_discussion_january_10_2018
0.137172015,0.06450567,0.799520347,0.133314543,daily_general_discussion_january_11_2018
0.154931241,0.058410982,0.805418145,0.13379161,daily_general_discussion_january_12_2018
0.134744026,0.066157136,0.80855788,0.124351929,daily_general_discussion_january_13_2018
0.156753109,0.067129412,0.793559664,0.139305882,daily_general_discussion_january_14_2018
0.117792033,0.070599504,0.802643059,0.126057365,daily_general_discussion_january_15_2018
0.088806911,0.075669923,0.797261334,0.125780686,daily_general_discussion_january_16_2018
0.089903956,0.078595825,0.790016899,0.129405567,daily_general_discussion_january_17_2018
0.122398382,0.071142068,0.805829519,0.122638122,daily_general_discussion_january_18_2018
0.1429849,0.06573396,0.806900996,0.126261615,daily_general_discussion_january_19_2018
0.19122218,0.052086466,0.812822682,0.135096491,daily_general_discussion_january_1_2018
0.155370139,0.056775623,0.817987258,0.124126316,daily_general_discussion_january_20_2018
0.144188394,0.060834008,0.809794872,0.128712551,daily_general_discussion_january_21_2018
0.109830534,0.073843619,0.798707657,0.124669142,daily_general_discussion_january_22_2018
0.123408325,0.063799193,0.816764379,0.116915237,daily_general_discussion_january_23_2018
0.112689919,0.072349025,0.796185925,0.127181645,daily_general_discussion_january_24_2018
0.110986806,0.06295403,0.818214925,0.11526209,daily_general_discussion_january_25_2018
0.109878489,0.069383001,0.804187303,0.124332634,daily_general_discussion_january_26_2018
0.132820882,0.055816912,0.823303676,0.1186875,daily_general_discussion_january_27_2018
0.11903,0.065364286,0.81592987,0.118700649,daily_general_discussion_january_28_2018
0.125777257,0.060464447,0.826108352,0.112863995,daily_general_discussion_january_29_2018
0.180980693,0.050254963,0.820513429,0.128894081,daily_general_discussion_january_2_2018
0.067461736,0.079477115,0.795051629,0.122906261,daily_general_discussion_january_30_2018
0.162209504,0.05443538,0.815958789,0.128767872,daily_general_discussion_january_3_2018
0.1502967,0.053596154,0.820298857,0.125589917,daily_general_discussion_january_4_2018
0.162952832,0.053959036,0.81360323,0.131733848,daily_general_discussion_january_5_2018
0.157287594,0.053137334,0.816438546,0.128979227,daily_general_discussion_january_6_2018
0.161013184,0.056247839,0.81382781,0.129925072,daily_general_discussion_january_7_2018
0.154712799,0.058588061,0.803772777,0.136549773,daily_general_discussion_january_8_2018
0.21205,0.043263566,0.814445736,0.142271318,daily_general_discussion_january_9_2018
0.141986713,0.065405594,0.822643357,0.111923077,daily_general_discussion_november_10_2017
0.213210526,0.06756391,0.790887218,0.141556391,daily_general_discussion_november_11_2017
0.192344444,0.074309524,0.797055556,0.128650794,daily_general_discussion_november_12_2017
0.241400862,0.034413793,0.831456897,0.134155172,daily_general_discussion_november_13_2017
0.212508209,0.05591791,0.819119403,0.124985075,daily_general_discussion_november_14_2017
0.214962179,0.068967949,0.804852564,0.126185897,daily_general_discussion_november_15_2017
0.158588439,0.065589595,0.821098266,0.113294798,daily_general_discussion_november_16_2017
0.169543939,0.061568182,0.829363636,0.109075758,daily_general_discussion_november_17_2017
0.143544643,0.057089286,0.833133929,0.109776786,daily_general_discussion_november_18_2017
0.29378631,0.043934524,0.814452381,0.141613095,daily_general_discussion_november_19_2017
0.138935227,0.062585227,0.824204545,0.113238636,daily_general_discussion_november_1_2017
0.179410506,0.069564202,0.812937743,0.117501946,daily_general_discussion_november_20_2017
0.204206855,0.039721774,0.837157258,0.123116935,daily_general_discussion_november_21_2017
0.206161137,0.052180095,0.805701422,0.132649289,daily_general_discussion_november_22_2017
0.22131866,0.053004785,0.807220096,0.139808612,daily_general_discussion_november_23_2017
0.188886528,0.051284974,0.790305699,0.153233161,daily_general_discussion_november_24_2017
0.201404145,0.054072539,0.827751295,0.118181347,daily_general_discussion_november_25_2017
0.177585124,0.068640496,0.817512397,0.109710744,daily_general_discussion_november_26_2017
0.215522939,0.056795699,0.80109319,0.142121864,daily_general_discussion_november_27_2017
0.242276667,0.055958333,0.818952778,0.125097222,daily_general_discussion_november_28_2017
0.12558129,0.062896774,0.817905376,0.1192,daily_general_discussion_november_29_2017
0.106259398,0.054796992,0.816894737,0.128308271,daily_general_discussion_november_2_2017
0.208196482,0.053889447,0.79779397,0.148316583,daily_general_discussion_november_30_2017
0.138158974,0.108529915,0.776581197,0.114888889,daily_general_discussion_november_3_2017
0.226902532,0.058417722,0.837620253,0.103974684,daily_general_discussion_november_4_2017
0.228105882,0.034529412,0.855088235,0.110392157,daily_general_discussion_november_5_2017
0.185318898,0.051669291,0.840047244,0.108283465,daily_general_discussion_november_6_2017
0.21865,0.040315068,0.836260274,0.123417808,daily_general_discussion_november_7_2017
0.18508764,0.066320225,0.777438202,0.156235955,daily_general_discussion_november_8_2017
0.225191954,0.053586207,0.808310345,0.138114943,daily_general_discussion_november_9_2017
0.224352727,0.049418182,0.823672727,0.126836364,daily_general_discussion_october_10_2017
0.351835484,0.044322581,0.814322581,0.14133871,daily_general_discussion_october_11_2017
0.165794667,0.067346667,0.83992,0.092706667,daily_general_discussion_october_12_2017
0.186642466,0.042246575,0.850260274,0.107506849,daily_general_discussion_october_13_2017
0.112028,0.0506,0.8521,0.09734,daily_general_discussion_october_14_2017
0.249263291,0.051265823,0.831506329,0.117202532,daily_general_discussion_october_15_2017
0.194973684,0.059197368,0.808434211,0.132342105,daily_general_discussion_october_16_2017
0.193033613,0.056403361,0.816361345,0.127201681,daily_general_discussion_october_17_2017
0.172550909,0.061018182,0.826281818,0.112672727,daily_general_discussion_october_18_2017
0.142758333,0.05495,0.8271,0.117933333,daily_general_discussion_october_19_2017
0.157383333,0.072638889,0.807638889,0.119722222,daily_general_discussion_october_1_2017
0.179732051,0.059038462,0.839641026,0.101333333,daily_general_discussion_october_20_2017
0.373233333,0.006166667,0.831833333,0.162,daily_general_discussion_october_21_2017
0.233658621,0.042241379,0.809155172,0.148551724,daily_general_discussion_october_22_2017
0.089952778,0.049888889,0.871574074,0.078583333,daily_general_discussion_october_23_2017
0.185784496,0.055449612,0.827852713,0.11672093,daily_general_discussion_october_24_2017
0.131791304,0.051434783,0.841130435,0.107442029,daily_general_discussion_october_25_2017
0.156990667,0.056533333,0.796106667,0.147373333,daily_general_discussion_october_26_2017
0.207309722,0.053680556,0.848736111,0.097583333,daily_general_discussion_october_27_2017
0.215706522,0.038521739,0.839652174,0.121847826,daily_general_discussion_october_28_2017
0.252374627,0.059985075,0.777104478,0.162910448,daily_general_discussion_october_29_2017
0.256687179,0.039282051,0.818025641,0.14274359,daily_general_discussion_october_2_2017
0.250383333,0.033333333,0.841071429,0.125583333,daily_general_discussion_october_30_2017
0.207495745,0.050904255,0.800595745,0.148510638,daily_general_discussion_october_31_2017
0.14395625,0.069791667,0.803895833,0.126375,daily_general_discussion_october_3_2017
0.148571667,0.0901,0.765333333,0.144583333,daily_general_discussion_october_4_2017
0.302232143,0.037857143,0.827107143,0.135035714,daily_general_discussion_october_5_2017
0.287523636,0.058672727,0.775,0.166309091,daily_general_discussion_october_6_2017
0.0525,0.063425,0.818325,0.118325,daily_general_discussion_october_7_2017
0.09825625,0.067020833,0.829333333,0.103666667,daily_general_discussion_october_8_2017
0.200669565,0.037985507,0.883391304,0.078623188,daily_general_discussion_october_9_2017
0.210163636,0.037909091,0.799272727,0.162818182,daily_general_discussion_september_18_2017
0.128793103,0.075,0.833655172,0.091310345,daily_general_discussion_september_19_2017
0.107625,0.04555,0.89915,0.0553,daily_general_discussion_september_20_2017
0.283425,0.085035714,0.77275,0.142285714,daily_general_discussion_september_21_2017
0.192569231,0.036307692,0.854115385,0.1095,daily_general_discussion_september_22_2017
0.104683333,0.115166667,0.76125,0.123583333,daily_general_discussion_september_23_2017
0.39903,0.0363,0.8106,0.1532,daily_general_discussion_september_24_2017
0.182027586,0.061275862,0.840482759,0.098241379,daily_general_discussion_september_25_2017
0.424309091,0.047818182,0.817909091,0.134272727,daily_general_discussion_september_26_2017
0.28848,0.035533333,0.8814,0.083133333,daily_general_discussion_september_27_2017
0.176885714,0.047,0.863857143,0.089071429,daily_general_discussion_september_28_2017
0.210582353,0.121352941,0.747941176,0.130705882,daily_general_discussion_september_29_2017
0.217413043,0.014565217,0.843,0.142391304,daily_general_discussion_september_30_2017